id,condition,score,api_response
83,medium,1001,"Rule: Combinations are valid if one object is a circle and the other is a square.  
Rule: The shape of the new object is determined by the shape being held.  
Rule: The inner pattern of the new object is determined by the shape not being held."
84,high,111,Rule: Combinations are valid if both objects are the same shape.
85,high,111143,Rule: Combinations are valid if both objects are the same shape.
86,high,100012,Rule: Combinations are valid if both objects are the same shape.
87,medium,11001,No specific rules detected.
88,low,1,No specific rules detected.
89,low,0,No specific rules detected.
90,medium,362,"Rule: Same shapes cannot be combined.  
Rule: Shapes with the same pattern cannot be combined.  
Rule: Combinations are valid if they follow the specific recipes:  
- Blank square + checkered circle, or vice versa  
- Blank rhombus + checkered triangle, or vice versa  
- Blank triangle + dotted rhombus, or vice versa  
- Dotted triangle + diagonal rhombus, or vice versa  
- Diagonal triangle + checkered rhombus, or vice versa  
Rule: Any resulting fusion can also be combined according to the recipes to make an even more valuable mineral."
91,medium,1,"Rule: Combinations are valid if a square and circle are combined.  
Rule: Combinations are valid if a kite and triangle are combined."
92,high,201,Rule: Combinations are valid if both objects are the same shape.
93,medium,212,No specific rules detected.
94,low,62,No specific rules detected.
95,medium,27,No specific rules detected.
96,low,20,Rule: Combinations are not valid if both objects are the same shape.
97,medium,110120,"Rule: Triangles combine only with diamonds and vice versa.  
Rule: Squares combine only with circles and vice versa.  
Rule: Combinations should involve colors or patterns that are different."
98,low,16,No specific rules detected.
99,high,100026,No specific rules detected.
100,medium,10102,No specific rules detected.
101,high,310100,No specific rules detected.
102,high,301020,Rule: Combinations are valid if both objects are the same shape.
103,high,126,No specific rules detected.
104,high,100000,Rule: Combinations are valid if the objects are the same shape.
105,medium,30,No specific rules detected.
106,high,1006,Rule: Combinations are valid if both objects are identical shapes.
107,medium,0,No specific rules detected.
108,high,400023,Rule: Combinations are valid if both objects are the same form.
109,medium,1000,No specific rules detected.
110,high,100000,Rule: Combinations are valid if both objects are the same shape.
111,high,124,No specific rules detected.
112,medium,431,"Rule: Diamond matches with triangle.  
Rule: Circle matches with square.  
Rule: Blank plus lines makes lines.  
Rule: Blank plus crosshatch makes crosshatch.  "
113,medium,1210,Rule: Combinations are valid if one object has a pattern and the other does not.
114,high,211140,Rule: Combinations are valid if objects are the same shape but have different patterns.
115,medium,202,No specific rules detected.
116,medium,48,Rule: Combinations are valid if objects are of different shapes.
117,medium,301000,No specific rules detected.
118,medium,221,"Rule: Combinations are valid if objects are different colors.  
Rule: Checkered shapes can be combined with near full (checkered) shapes.  
Rule: Combined shapes retain properties of each item, the first item will be the shape, the pattern of the second.  
Rule: Colors do not have to be the same to be combined."
119,high,100,"Rule: Combinations are valid if objects have the same color and shape, but different patterns."
120,medium,200213,"Rule: Combinations are valid if objects are the same shape.
Rule: Triangle + Diamond combinations are valid and allow stacking more diamonds.
Rule: Square + Circle combinations are valid and allow stacking more circles."
