id	condition	messageHow	isRuleLike	messageRules	isEnv	messageFiltered	total_points
59	easy	Matching the same shapes with different patterns lets you fuse them for bonus points.	1	Different shapes don't fuse together, similar ones do.	0	Different shapes don't fuse together, similar ones do.	119
61	easy	This game was enjoyable and when fusing together try to make sure they are the same pattern.	0	when fusing together try to make sure they are the same pattern.	0	when fusing together try to make sure they are the same pattern.	11
62	easy	picking same shapes will be helpful	1	combining 2 or more with same shape will give us points	0	combining 2 or more with same shape will give us points	213
67	easy	try to get as many purple shapes as possible, don't activate other colours, be sure not to double tap space by accident because you gonna activate them	0	2 of lesser color = 1 of higher, BUT red + orange = light green red + light green = dark green orange + green = blue red + blue = purple	1	2 of lesser color = 1 of higher, BUT red + orange = light green red + light green = dark green orange + green = blue red + blue = purple	210040
72	easy	This game is a bit challenging however if you focus you will find the clues and receive the points in the game.	0	The more you try to form patterns with the shapes if they don't go hand in hand you will see an X sign on found recipes	1		24
76	easy	dear future player when you pick your crystals make sure they are of the same shape even if its different colors, you will be given different shapes to choose from. the first shape you choose stick to it, good luck.	0	the rule was crystals come in many shapes, forms and colors, let go of crystals ones you done picking to allow for space to pick up more, combining same shape different colors is best because some colors have more points than others.	0	combining same shape different colors is best because some colors have more points than others.	10
78	easy	The game needs a lot of strategy.	0	The fusion of the colors is easy, and the red color fusion is quite easy when combined with red.	1	The fusion of the colors is easy, and the red color fusion is quite easy when combined with red.	0
79	easy	make sure you check / look up on the messages on top for the type of item you are carrying tobe matched	0	i noticed i obtained more points when combing the square ones	0	i noticed i obtained more points when combing the square ones	21015
84	easy	Don't rush during the game and take time to see how the recipes form to make the best judgement. Observe how the shapes merge.	0	You can only combine similarly shaped crystals. a circular crystal will only combine with another circular crystal	0	You can only combine similarly shaped crystals. a circular crystal will only combine with another circular crystal	111
85	easy	Combine the same shapes and collect all the same shapes until they are finished. Don't rush to drop a shape because new ones of the same type may pop up. When finished with a certain set of shapes, be sure to drop the one you are holding, then pick up another one and repeat the same pattern. Never mix two different shapes.	0	When you mix different shapes, you get an error, but mixing the same shape can give you a new shape and color and therefore points, depending on the patterns on the shapes that you mixed.	0	When you mix different shapes, you get an error, but mixing the same shape can give you a new shape and color and therefore points, depending on the patterns on the shapes that you mixed.	111143
86	easy	When selecting, select the same shape. For instance if you are are going for circle, you combine all circle. To select a shape press the space bar key on your keyboard. To move around use the arrow keys ie the up, down, left and right keys on your keyboard. If you want to drop the shape you are holding, you press the D key on your keyboard	0	 Now for the pattern a plan red circle  ie without any pattern and a square patterned orange circle will give a plan yellow circle A plan red diamond shape combined with a square red diamond will give an orange squared patterned diamond, an orange  patterned diamond with a red dotted diamond will give a yellow dotted diamond. A yellow dotted diamond with a slight lined patterned  red diamond will give a blue slight lined patterned diamond shape. In essence just play around and combine the same shapes together   	0	 Now for the pattern a plan red circle  ie without any pattern and a square patterned orange circle will give a plan yellow circle A plan red diamond shape combined with a square red diamond will give an orange squared patterned diamond, an orange  patterned diamond with a red dotted diamond will give a yellow dotted diamond. A yellow dotted diamond with a slight lined patterned  red diamond will give a blue slight lined patterned diamond shape. In essence just play around and combine the same shapes together   	100012
92	easy	combine same shape crystals and if possible same colour though from my experience the colour is not really necessary except it is been displayed.	0	if you combine different shape crystal it score you low. give it your full concentration.	0	if you combine different shape crystal it score you low. give it your full concentration.	201
99	easy	Try to match the shapes according to their colors	1	Make sure the patterns are well coordinated.	1	Make sure the patterns are well coordinated.	100026
101	easy	Match alike shapes with different shades each transition	1	alike shapes lead to better values	0	alike shapes lead to better values	310100
102	easy	Try matching only the same shapes until you reach the purple color of this shape.	0	I noticed that only the same shapes could be combined.	0	I noticed that only the same shapes could be combined.	301020
103	easy	Try to take take the time to strategize properly. I didn't get it even after 40 moves.	0	I noticed none. I was kept guessing all the way through.	0	I noticed none. I was kept guessing all the way through.	126
104	easy	Pick the same shapes for the recipes. Be aware that some colour/patterns for the shapes can't fuse.	1	Shapes had to be the same for the recipes to fuse. Certain colours/patterns will not fuse.	0	Shapes had to be the same for the recipes to fuse. Certain colours/patterns will not fuse.	100000
106	easy	Fuse similar shapes	1	Only identical shapes fuse	0	Only identical shapes fuse	1006
108	easy	Form seems to be a determinant factor for the capacity of fusion (triangle fuses with triangle, etc.).	1	Form seems to be more important than the pattern.	0	Form seems to be more important than the pattern.	400023
110	easy	Shapes seem to influence fusion more than patterns do.	1	Similar shapes are more likely to combine - square with square, etc. The solid shapes do not seem to combine with anything from what I could tell, but I may be wrong about that. Good luck! 	0	Similar shapes are more likely to combine - square with square, etc. The solid shapes do not seem to combine with anything from what I could tell, but I may be wrong about that. Good luck! 	100000
111	easy	I had none, just went with my gut.	0	I didn't notice any patterns.	1	I didn't notice any patterns.	124
114	easy	I suggest fusing together all the ones of the same shape (e.g. triangles) but not if you've already fused one with the same pattern. So you could fuse a plain triangle and a dotty triangle and a triangle with a checked pattern, but then don't fuse another dotty triangle after that. This technique worked every single time except once.	1	You can usually fuse together objects of the same shape, but you can't repeat objects with the same pattern. So you can't fuse a plain triangle, then a dotty triangle, then a plain triangle, for example. But you could fuse a plain triangle, then a dotty triangle, then a checked triangle, and so on.	0	You can usually fuse together objects of the same shape, but you can't repeat objects with the same pattern. So you can't fuse a plain triangle, then a dotty triangle, then a plain triangle, for example. But you could fuse a plain triangle, then a dotty triangle, then a checked triangle, and so on.	211140
119	easy	Try to start with solid colored shape and then combine it with striped one for the same color and shape. Keep combining same shape with different pattern within the same shape.	1	Start with solid colored one shape and go for the same shape that has striped pattern inside.	0	Start with solid colored one shape and go for the same shape that has striped pattern inside.	100
2	hard	Match the right one!	0	good points are high	1	good points are high	132
4	hard	Copy the information in the explanation to be able to read it again as there is no instructions when you start.	0	I could not find any pattern	0	I could not find any pattern	31
7	hard	Circles and Squares tend to have the best fusion, usually the ones with solid patterns 	1	Circles and Squares tend to have the best fusion , usually the ones with solid patterns 	0	Circles and Squares tend to have the best fusion , usually the ones with solid patterns 	0
9	hard	I don't have any strategies to share	0	A solid square and solid circle gives 10 points, a solid triangle and solid diamond gives 10 points	1		65
10	hard	honeslty just keep trying random things	0	find the orange square	1	honeslty just keep trying random things	30
13	hard	Take your time and try to think before playing the game. Just because you are getting a hint it does not mean you will get a crystal.	0	WIth a cycle and a solid colur square you can get a crystal. It is always 2 different shapes that get you a crystal.	0	WIth a cycle and a solid colur square you can get a crystal. It is always 2 different shapes that get you a crystal.	0
14	hard	i try to make variatons on the lines and points	0	some of them was random for me, even i think all of them, i don't undestrand how to hold the points :/	0	some of them was random for me, even i think all of them, i don't undestrand how to hold the points :/	101
15	hard	Match the same patterns together.	1	Match the same patterns together, doesn't have to be the same shape. 	0	Match the same patterns together, doesn't have to be the same shape. 	29
20	hard	I have no idea	0	Did not notice anything	0	Did not notice anything	220
23	hard	Carefully read the rule. Even if they don't help you in action (	0	I didn't catch exactly what this game is leading to. It is not as it is described before	0	I didn't catch exactly what this game is leading to. It is not as it is described before	130
25	hard	Dont hold down the space bar as you will quickly loose the number of turns	0	I don't think the actions to combine crystals was working or I didn't understand the rules correctly. Maybe add a test section to get people used to playing the game	1	I don't think the actions to combine crystals was working or I didn't understand the rules correctly. 	0
26	hard	Please follow rules and be patient	0	Same color	0	Same color	31
27	hard	I was just picking randomly and hoping for the best, I found no noticable pattern	0	I seen no noticeable patterns	0	I seen no noticeable patterns	1013
28	hard	try   match them  if can	0	no sure	0	no sure	5
33	hard	Use the found receipes along the side to find the best pairings and notice how many points you get once fused.	0	n/a	0	n/a	121
34	hard	Find successful crystal combinations and then drop them. Pair the dropped combinations to create more combinations.	0	Combinations always take on the shape of the first crystal. Combinations always take on the texture of the second crystal.	1	Combinations always take on the shape of the first crystal. Combinations always take on the texture of the second crystal.	111
36	hard	I really don't understand this game. I thought I was playing it right but I didn't do very well. Tip: start with the closest gem and move outwards. Make lots of variations.	0	that I was not doing it right! Shapes that are the same don't seem to combine well.	0	that I was not doing it right! Shapes that are the same don't seem to combine well.	26
41	hard	No identified pattern on how the fusion can yield more pointd	0	None. Random confusion	0	None. Random confusion	0
45	hard	I tried to combine the crystals in accordance to the matching patterns.	0	They are best combined when they look alike.	0	They are best combined when they look alike.	1018
46	hard	A square with a pattern in and a solid red circle gave me more points	0	Diamond circle and square circle seemed to give me more points	0	Diamond circle and square circle seemed to give me more points	175
48	hard	Make sure that your patterns in your shapes somehow correspond to each other to make a match	0	I noticed that shapes are almost similar when playing and doing the game	0	I noticed that shapes are almost similar when playing and doing the game	1105
49	hard	Don't fuse two items of the same shape, rectangles fuse with circles, triangles fuse with rhombus	1	Rectangles fuse with circles, triangles fuse with rhombus	0	Rectangles fuse with circles, triangles fuse with rhombus	0
50	hard	Don't press spacebar when carrying an item on an empty square as this will bank that item	0	In this particular game the only combo I found was square and circle	0	In this particular game the only combo I found was square and circle	27
53	hard	Keep trying new recipes	0	I didn't find any.	0	I didn't find any.	100
56	hard	Be methodical in trying the combinations.	0	Check the hint box as it shows what you have tried previously.  None of the shapes shown combine with a green crystal to make another colour.	0	None of the shapes shown combine with a green crystal to make another colour.	0
58	hard	Try harvesting thred and four sided shapes, they seem to combine better	1	Like shapes and patterns typically won't combine. Triangles and diamonds more likely.	0	Like shapes and patterns typically won't combine. Triangles and diamonds more likely.	100
60	hard	be patient and do not cash in any item before finding patters.	0	circles and squares need to have the same pattern. rhombus and triangles have to not have the same pattern or dotted pattern with lines. Also it's important to pay attention to what the order the items are fused, fusing a square with a circle creates a square while fusing a circle with a square creates a circle.	0	circles and squares need to have the same pattern. rhombus and triangles have to not have the same pattern or dotted pattern with lines. Also it's important to pay attention to what the order the items are fused, fusing a square with a circle creates a square while fusing a circle with a square creates a circle.	350
65	hard	Circle and square matched patterns equals orange crystal	1	Circle and square matched patterns equals orange crystal	0	Circle and square matched patterns equals orange crystal	76
69	hard	link shapes of the same colour	1	same coloured shapes give you a new colour with the shape of the first shape	1	same coloured shapes give you a new colour with the shape of the first shape	0
70	hard	I started sorting them at one point but it didn't seem to help me much so I didn't bother.	0	Similar patterns worked better but not always and identical ones never fused. Matching red patterned triangle and diamond fused, matching red pattern circle and square fused. The only oranges I got to fuse were dotted triangle and solid diamond. I did very badly btw, hope this helps!	0	Similar patterns worked better but not always and identical ones never fused. Matching red patterned triangle and diamond fused, matching red pattern circle and square fused. The only oranges I got to fuse were dotted triangle and solid diamond. I did very badly btw, hope this helps!	130
73	hard	lookout for matching patterns and pay special attention to shapes	1	Square and circles appear to pair very well, and so are trianges and diagonal shapes. 	0	Square and circles appear to pair very well, and so are trianges and diagonal shapes. 	157
77	hard	finish all your moves.	0	combine diamond with triangle always and keep going.  I did not find other shape's pairs you need to figure which shape is paired with.	0	combine diamond with triangle always and keep going.  I did not find other shape's pairs you need to figure which shape is paired with.	10020
82	hard	Dont forget to harvest when you feel like its the right time.	0	Circles and squares are usually the two to fuse together.Patterns are also a hint sometimes. Diamond and Triangles fuse.	0	Circles and squares are usually the two to fuse together.Patterns are also a hint sometimes. Diamond and Triangles fuse.	112
88	hard	It was quite confusing at some point	0	shapes perhaps color pattern	0	shapes perhaps color pattern	1
89	hard	i could'nt get the trick	0	i didnt notice the patterns	0	i didnt notice the patterns	0
94	hard	I was holding the rover to fuse the crystals more	0	i don't remember	0	i don't remember	62
96	hard	I just trusted my instincts when combining.	0	shapes that are the same are not to be combined.	0	shapes that are the same are not to be combined.	20
98	hard	Guys, if you press the space bar continuosly you will loss the game as it will reduce the steps.	0	There are only red available despite many colours were shown and similar colours are very rare to produce more energy.	1	There are only red available despite many colours were shown and similar colours are very rare to produce more energy.	16
6	medium	Once you find a combo that works, max that out before moving on	0	Shape matching doesn't seem to be relevent (squares with squares etc)	0	Shape matching doesn't seem to be relevent (squares with squares etc)	0
11	medium	Combining crystals	0	the points multiplied	1		0
12	medium	use arrows to cotrol the game	0	using space bar to combine or fuse items	1		124
17	medium	square plus circle no matter the patterns works well. Triangle plus diamond too. Dont fuse two of the same shape it never works. For example dont fuse two triangles or two circles.	1	the shapes never fuze with the same shape. For example cicle and circle	0	square plus circle no matter the patterns works well. Triangle plus diamond too. Dont fuse two of the same shape it never works. For example dont fuse two triangles or two circles.. the shapes never fuze with the same shape. For example cicle and circle	341
21	medium	Do not mindlessly click, try and figure out a pattern of what combines first. It is simpler than you think - if two shapes mix, keep mixing the new crystal with the same shape to create new colours!	0	If you combine two shapes together and keep combing them, you move up in the crystal points rank	1	If you combine two shapes together and keep combing them, you move up in the crystal points rank	200021
22	medium	I was just going randomly.	0	N/a	0	N/a	100000
24	medium	Remember to drop off your colours (if its a good one) pressing space before you try and merge again, its very possible to go backwards in colour tiers I think so you can potentially lose points rather than accidentally merge into a lower colour. Always check out the hints for each block at the top, you can plan your moves this way before randomly trying to find out what works best. 	0	I could not find any rules/patterns, everything seemed fairly random. 	0	I could not find any rules/patterns, everything seemed fairly random. 	101015
29	medium	nothing works	0	the plain goes with the dots	0	the plain goes with the dots	1
31	medium	I formed the most new crystals by combining a square crystal with a round one.	1	I didn't know if it was a pattern or coincidence, but combining a square with a circle formed a new crystal. 	0	I didn't know if it was a pattern or coincidence, but combining a square with a circle formed a new crystal. 	100042
35	medium	Just experiment to find which combinations fuse: not many do.	0	Fusions seem to occur when a circle is combined with a square. But not all combinations of circles and squares fuse.	0	Fusions seem to occur when a circle is combined with a square. But not all combinations of circles and squares fuse.	0
37	medium	 Remember to harvest the highest scoring symbols you find by the end of the moves, so keep track of the number of moves	0	 I noticed that not all symbols of the same color combined and above all that equal symbols do not necessarily combine	0	 I noticed that not all symbols of the same color combined and above all that equal symbols do not necessarily combine	140
42	medium	collecting the green circles is more valuable since it gives you more points	0	i noticed collecting the diamonds gives less points than the circles and rectangles	0	i noticed collecting the diamonds gives less points than the circles and rectangles	111
52	medium	SQUARE AND CIRCLE OF DIFFERENT PATTERNS CAN FUSE, TRIANGLE AND DIAMOND OF DIFFERENT PATTERNS CAN FUSE	0	SQUARE AND CIRCLE OF DIFFERENT PATTERNS CAN FUSE, TRIANGLE AND DIAMOND OF DIFFERENT PATTERNS CAN FUSE	0	SQUARE AND CIRCLE OF DIFFERENT PATTERNS CAN FUSE, TRIANGLE AND DIAMOND OF DIFFERENT PATTERNS CAN FUSE	112
55	medium	be attentive and focused. don't look for identical figures with identical patterns.	1	items must have the same pattern	0	items must have the same pattern	7
57	medium	Chose a starting shape like circle. Try matching with another circle first and if it fuses keep choosing circle. If not, then chose another shape until you find the fusing match. When you get to purple drop it and find another match. Make sure to cash in the purple when you only have a few moves left.	1	I found that the patterns didn't make much difference, but once I found a matching pair, for example square and circle, I could hold a square and click any circle and it would fuse.	0	I found that the patterns didn't make much difference, but once I found a matching pair, for example square and circle, I could hold a square and click any circle and it would fuse.	301101
63	medium	I have no tips	0	It appears to be random	0	It appears to be random	1006
64	medium	When you find a combination of two objects, make note of the pattern inside the newly created object, fuse the new object (the one that you're holding) with the same shaped object that allowed you to create the new object, but with a different pattern than the new object.	1	I noticed that the pattern on the inside of the object that is combined with the held object is retained when combining, while the held object's shape was retained when combining.	1	I noticed that the pattern on the inside of the object that is combined with the held object is retained when combining, while the held object's shape was retained when combining.	200002
66	medium	do not be afraid to use your points	0	the solid colours mixed with the striped ones severally can produce new colours	1	the solid colours mixed with the striped ones severally can produce new colours	1011
68	medium	combine square and circle with different patterns	1	I did not use any patterns, just try	0	I did not use any patterns, just try	24
71	medium	So what I have discovered is that to get more points, you have to double-click on each crystal.	0	I noticed that most combined crystals do not yield the desirable results.	0	I noticed that most combined crystals do not yield the desirable results.	144
74	medium	be patient and try and look for patterns	0	it was dificult for me	0	it was dificult for me	218
75	medium	no strategy honestly	0	none	0	none	111
80	medium	Coming up with fusions is really difficult so don't waste your actions on them.	0	The striped(diagonal stripes) square + the checked circle was a fusion. And the striped(diagonal stripes) circle + checked square was a fusion. The tilted square (diagonal stripes) + checked triangle was a fusion. Using the same shapes or patterns doesn't give you any fusions.	0	The striped(diagonal stripes) square + the checked circle was a fusion. And the striped(diagonal stripes) circle + checked square was a fusion. The tilted square (diagonal stripes) + checked triangle was a fusion. Using the same shapes or patterns doesn't give you any fusions.	58
81	medium	just pick up with the space bar and drop them into your points with the space bar immediatly	0	None of the patterns i tried to match worked out at all	0	None of the patterns i tried to match worked out at all	23
83	medium	Look for patterns, for me it was circle + square of different inner lines made new circles, square + circle of different inner patterns made new squares. The shape you hold determined (was the same) as the new shape it forms and the pattern you fuse onto (the second shape) determines the inner pattern of the new shape. The other shapes were completely useless to me and I could not create recipes from them.  	1	Only circles with squares could make new shapes. With the shape being determined by what you are holding (either a circle or square) and the inner pattern being determined by the shape you are not holding.	0	Only circles with squares could make new shapes. With the shape being determined by what you are holding (either a circle or square) and the inner pattern being determined by the shape you are not holding.	1001
87	medium	I have no idea what i waws doing. Guess game	0	I tried to match	0		11001
90	medium	before you save a mineral try to combine as many as possible to the most points	0	1. Same shapes cannot be combined 2. Shapes with the same pattern cannot combined 3. Recipes -> blank square + checkered circle, vice versa            -> blank rhombus + checkered triangle, vice versa            -> blank triangle + dotted rhombus, vice versa            -> dotted triangle + diagonal rhombus, vice versa            -> diagonal triangle + checkered rhombus, vice versa 4. Any resulting fusion can also be combined according to the recipes to make an even more valuable mineral	0	1. Same shapes cannot be combined 2. Shapes with the same pattern cannot combined 3. Recipes -> blank square + checkered circle, vice versa            -> blank rhombus + checkered triangle, vice versa            -> blank triangle + dotted rhombus, vice versa            -> dotted triangle + diagonal rhombus, vice versa            -> diagonal triangle + checkered rhombus, vice versa 4. Any resulting fusion can also be combined according to the recipes to make an even more valuable mineral	362
91	medium	Iam sorry if i cannot be of much help but i would like to say goodluck before anything.So to earn more you would pick a random crystal and try to fuse it with a fe others untl you get it right.If you fail after 3 attempts take another one and fuse it too.	0	a square and circle make a recipe. a kite and triangle make a recipe	0	a square and circle make a recipe. a kite and triangle make a recipe	1
93	medium	I clicked randomly until I got points	0	I didn't notice any	0	I didn't notice any	212
95	medium	Do not go with the shape or pattern that are similar. The pattern changes all the time, the first few moves are crucial.	1	Always check the hint on the top when moving the arrows, it sometimes show your outcome for a second before the question mark.	1	Always check the hint on the top when moving the arrows, it sometimes show your outcome for a second before the question mark.	27
97	medium	The triangles combine only with the diamonds and vice versa. The squares combine only with the circles and vice versa. Following this, choose a figure to start with and start matching with its geometric partner that has a different color or pattern.  Example: I start with a square of stripes and combine it with a plain circle. Imagine that a plain square with different colour turns out, which I will combine with another circle with dots. And so on. When you can't combine more drop for later or collect depending on the moves you have left.	1	You can combine with colors or patterns that are different. The triangles combine only with the diamonds and vice versa. The squares combine only with the circles and vice versa. 	0	You can combine with colors or patterns that are different. The triangles combine only with the diamonds and vice versa. The squares combine only with the circles and vice versa. 	110120
100	medium	Pick a crystal up and merge it with other crystals.	0	I was seeing different colors in the crystals and seeing how valuable they was.	1	I was seeing different colors in the crystals and seeing how valuable they was.	10102
105	medium	I have no clue what makes a match. I just systematically went row by row and checked.	0	I do not know any patterns or rules other than what was explained eearlier.	0	I do not know any patterns or rules other than what was explained eearlier.	30
107	medium	No tips, have fun	0	All seemed wrong, all the best!	0	All seemed wrong, all the best!	0
109	medium	If you try a few matches and they don't work drop the crystal and start with another. my first match was a spotty red triangle and red diamond then a red checked diamond then a striped diamond. Most of my matches were with diamonds	1	most of my matches seemed to be diamonds so maybe try these first	0	most of my matches seemed to be diamonds so maybe try these first	1000
112	medium	diamond matches with triangle. circle matches with square. blank plus lines makes lines, blank plus crosshatch makes crosshatch.   Make sure to mine the gems at the end when you have enough moves left!!	1	diamond matches with triangle. circle matches with square. blank plus lines makes lines, blank plus crosshatch makes crosshatch. 	0	diamond matches with triangle. circle matches with square. blank plus lines makes lines, blank plus crosshatch makes crosshatch. 	431
113	medium	Try combining a circle with a square and a triangle with other triangles.	0	In most cases, its one with a pattern and one without that a pattern that produce results	0	In most cases, its one with a pattern and one without that a pattern that produce results	1210
115	medium	Memprize the instructions because I didn't take enough time to do that and it hurt my ability to play well.	0	I didn't spend enough time on the rules so my play was mostly luck to get any points.	0	I didn't spend enough time on the rules so my play was mostly luck to get any points.	202
116	medium	Never go with two similar shaped crystals. combining different shapes might help to fuse. After you fuse it. Take it and harvest it in an empty space.	1	I didn't notice any pattern but I believe it never fuses when you try to combine two similar shaped crystals.	0	I didn't notice any pattern but I believe it never fuses when you try to combine two similar shaped crystals.	48
117	medium	Try and merge different shapes together to create high coloured shapes, once found 2 shapes that merge well together, keep merging with the same shape consistentely.	1	Circle + square helps get a higher colour circle.	0	Circle + square helps get a higher colour circle.	301000
118	medium	Can combine different colors together. Unsure of whether can fuse same shapes as I was unsuccessful. Checkered shapes can be combined with near full (checkered) shapes. The combined shape will combined properties, one of each shape (not color). Pressing spacebar will consume the item on an empty space, so make sure to press D to drop and not waste points!	1	Combined shapes retain properties of each items, the first item will be the shape, the pattern of the second. And colors do not have to be the same to be combined.	0	Combined shapes retain properties of each items, the first item will be the shape, the pattern of the second. And colors do not have to be the same to be combined.	221
120	medium	I found that once I found a combination of shapes if I kept going for the same shape then the points would keep multiplying. I didn't notice any patterns between the different shadings of shapes only the actual shapes themselves. Once you get a purple gem don't forget to bank it as any other combinations won't increase value!	1	Triangle + Diamond (can keep stacking more diamonds) Square + Circle (again keep stacking circles) REMEMBER to pick up in the order stated (not sure what'll happen the opposite way) 	0	Triangle + Diamond (can keep stacking more diamonds) Square + Circle (again keep stacking circles) REMEMBER to pick up in the order stated (not sure what'll happen the opposite way) 	200213
