"","X","id","condition","messageHow","messageRules","total_points","age","sex","engagement","difficulty","feedback","date","time","total_points_log","duration"
"27",27,28,"low","try   match them  if can ","no sure ",5,39,"male",9,8,"none","2025_01_22","11_41_52",1.79175946922805,464
"28",28,29,"medium","nothing works","the plain goes with the dots ",1,24,"female",2,10,"this was hard ","2025_01_22","13_42_24",0.693147180559945,514
"29",29,30,"high","Match same shapes","Try to match or fuse the same shapes. for example: Tringle with Triangle",1,24,"female",10,5,"No","2025_01_22","13_42_39",0.693147180559945,332
"30",30,31,"medium","I formed the most new crystals by combining a square crystal with a round one. ","I didn't know if it was a pattern or coincidence, but combining a square with a circle formed a new crystal. ",100042,55,"female",10,10,"I was confused by the rules but it was quite a fun and engaging experience. ","2025_01_22","13_42_53",11.5133553725467,529
"31",31,32,"high","Long space adds extra points","Long spacing",1133,35,"female",9,10,"It was hard to grasp what to do in the beginning but I feel like I got the hang of it.","2025_01_22","11_42_16",7.0335064842877,412
"32",32,33,"low","Use the found receipes along the side to find the best pairings and notice how many points you get once fused.","n/a",121,33,"female",7,8,"It was quite difficult to work out how to fuse the best matches.","2025_01_22","11_42_60",4.80402104473326,256
"33",33,34,"low","Find successful crystal combinations and then drop them. Pair the dropped combinations to create more combinations.","Combinations always take on the shape of the first crystal. Combinations always take on the texture of the second crystal.",111,32,"male",8,6,"No comment","2025_01_22","13_43_02",4.71849887129509,464
"34",34,35,"medium","Just experiment to find which combinations fuse: not many do. ","Fusions seem to occur when a circle is combined with a square. But not all combinations of circles and squares fuse. ",0,39,"male",9,10,"No","2025_01_22","11_43_45",0,562
"35",35,36,"low","I really don't understand this game. I thought I was playing it right but I didn't do very well. Tip: start with the closest gem and move outwards. Make lots of variations.","that I was not doing it right! Shapes that are the same don't seem to combine well.",26,54,"female",5,5,"I feel like I didnt do it right.","2025_01_22","11_43_47",3.29583686600433,468
"36",36,37,"medium","
Remember to harvest the highest scoring symbols you find by the end of the moves, so keep track of the number of moves","
I noticed that not all symbols of the same color combined and above all that equal symbols do not necessarily combine",140,50,"female",10,7,"No","2025_01_22","12_44_18",4.94875989037817,495
"37",37,38,"high","Same shape fuses and increases the harvest
Ensure you drop high value harvest to free the space hover","Same shape fused and increased harvest",300000,44,"female",10,7,"Interesting study - strategy or chance? ","2025_01_22","11_44_22",12.6115410869661,563
"38",38,39,"high","You will need to focus more, dont rush into finishing","when collecting, combining, and harvesting crystals make sure you pay attension inorder to get the correct patterns",110000,30,"female",10,0,"This survey is mind relaxing and makes you to be able to think and observe more","2025_01_22","13_44_45",11.6082447356423,586
"39",39,40,"high","pay attention to pieces in your hand beforr merging ","blue circle plus red equals purple circle",100000,30,"male",7,6,"very interesting game","2025_01_22","13_44_56",11.5129354649202,521
"40",40,41,"low","No identified pattern on how the fusion can yield more pointd","None. Random confusion ",0,34,"female",10,5,"No","2025_01_22","13_45_12",0,525
"41",41,42,"medium","collecting the green circles is more valuable since it gives you more points","i noticed collecting the diamonds gives less points than the circles and rectangles",111,29,"male",7,9,"the game seems engaging","2025_01_22","14_45_13",4.71849887129509,487
"42",42,43,"high","Combine forms: no mattern + a pattern = leads to a orange symbol 

As soon as youas holding an orange symbol (by picking one symbol with no pattern, and the same symbol with one pattern), pick a third symbol with squared-pattern, this will lead to a yellow. ","Same format:
1. Pattern + Non-pattern = Orange 
2. Orange + Squared-pattern = yellow",382,26,"female",10,5,"no. ","2025_01_22","11_45_18",5.94803498918065,599
"43",43,44,"high","start with the same shapes","I have not noticed a pattern accept selecting the same shapes to morph",300031,31,"female",10,5,"","2025_01_22","13_45_19",12.6116444146165,646
"44",44,45,"low","I tried to combine the crystals in accordance to the matching patterns.  ","They are best combined when they look alike.",1018,28,"male",10,9,"No comments.","2025_01_22","13_45_41",6.92657703322272,2450
"45",45,46,"low","A square with a pattern in and a solid red circle gave me more points","Diamond circle and square circle seemed to give me more points",175,60,"male",8,10,"no comments","2025_01_22","11_45_48",5.17048399503815,654
"46",46,47,"high","Gems of the same shape merge to make new gems.  Colour and pattern doesn't seem to matter.","Merging gems of the same shape produced new gems.  Attempting to merge gems of differing shapes failed every time in my trials.",400031,44,"male",7,2,"It sounded as though movement would count as an action in the instructions but it did not in the actual game.  This should probably be clarified.","2025_01_22","11_46_05",12.8992998228903,495
"47",47,48,"low","Make sure that your patterns in your shapes somehow correspond to each other to make a match","I noticed that shapes are almost similar when playing and doing the game",1105,23,"female",8,5,"The experiment was indeed fun and a bit challenging to do","2025_01_22","13_46_36",7.00850518208228,605
"48",48,49,"low","Don't fuse two items of the same shape, rectangles fuse with circles, triangles fuse with rhombus","Rectangles fuse with circles, triangles fuse with rhombus",0,27,"male",5,3,"Its all about experimenting with different items","2025_01_22","12_46_60",0,709
"49",49,50,"low","Don't press spacebar when carrying an item on an empty square as this will bank that item","In this particular game the only combo I found was square and circle",27,31,"male",7,7,"I initially had a higher score but the game broke with 4 moves left and no more items to use those 4 moves on. I had around 212000 points","2025_01_22","11_48_42",3.3322045101752,690
"50",50,51,"high","the higher energy crystals have to fuse with crystals that have higher energy than them","the rule is that if the crystal has lower energy it can fuse with a crystal that has an energy that is higher than theirs",0,33,"male",10,5,"no","2025_01_22","13_47_10",0,724
"51",51,52,"medium","SQUARE AND CIRCLE OF DIFFERENT PATTERNS CAN FUSE, TRIANGLE AND DIAMOND OF DIFFERENT PATTERNS CAN FUSE","SQUARE AND CIRCLE OF DIFFERENT PATTERNS CAN FUSE, TRIANGLE AND DIAMOND OF DIFFERENT PATTERNS CAN FUSE",112,26,"female",10,2,"It was fun to play the game","2025_01_22","13_47_16",4.72738781871234,666
"52",52,53,"low","Keep trying new recipes","I didn't find any.",100,35,"male",8,10,"I do not.","2025_01_22","11_47_20",4.61512051684126,614
"53",53,54,"high","trying to move as quickly as possible is the trick to get more points ","mostly the same shapes were combining as compared to different shapes",11000,24,"male",10,5,"no comment","2025_01_22","13_47_57",9.30574145673943,790
"54",54,55,"medium","be attentive and focused. don't look for identical figures with identical patterns.","items must have the same pattern",7,43,"male",10,6,"This is interesting","2025_01_22","13_48_12",2.07944154167984,694
"55",55,56,"low","Be methodical in trying the combinations.","Check the hint box as it shows what you have tried previously.  None of the shapes shown combine with a green crystal to make another colour.",0,41,"female",8,6,"This was more tricky than I thought it would be.  There seems to be no way to progress past green crystals.","2025_01_22","11_48_15",0,751
"56",56,57,"medium","Chose a starting shape like circle. Try matching with another circle first and if it fuses keep choosing circle. If not, then chose another shape until you find the fusing match. When you get to purple drop it and find another match. Make sure to cash in the purple when you only have a few moves left.","I found that the patterns didn't make much difference, but once I found a matching pair, for example square and circle, I could hold a square and click any circle and it would fuse.",301101,33,"male",10,0,"I thoroughly enjoyed this task. I had no technical issues and the instructions were very straightforward. ","2025_01_22","11_48_20",12.6152043567593,851
"57",57,58,"low","Try harvesting thred and four sided shapes, they seem to combine better","Like shapes and patterns typically won't combine. Triangles and diamonds more likely.",100,48,"male",10,7,"The history of combinations was time consuming to navigate back through. Mouse control would help with the grid for better results.","2025_01_22","13_48_31",4.61512051684126,755
"58",58,59,"high","Matching the same shapes with different patterns lets you fuse them for bonus points.","Different shapes don't fuse together, similar ones do.",119,42,"male",7,5,NA,"2025_01_22","13_48_36",4.78749174278205,828
"59",59,60,"low","be patient and do not cash in any item before finding patters.","circles and squares need to have the same pattern. rhombus and triangles have to not have the same pattern or dotted pattern with lines. Also it's important to pay attention to what the order the items are fused, fusing a square with a circle creates a square while fusing a circle with a square creates a circle.",350,23,"male",8,8,"None","2025_01_22","13_48_42",5.86078622346587,750
"60",60,61,"high","This game was enjoyable and when fusing together try to make sure they are the same pattern.","when fusing together try to make sure they are the same pattern.",11,36,"male",10,5,"This was a very enjoyable study.","2025_01_22","11_48_50",2.484906649788,797
"61",61,62,"high","picking same shapes will be helpful","combining 2 or more with same shape will give us points",213,25,"female",10,3,"no","2025_01_22","17_18_45",5.36597601502185,650
"62",62,63,"medium","I have no tips","It appears to be random",1006,45,"female",7,7,"no","2025_01_22","11_48_45",6.91473089271856,711
"63",63,64,"medium","When you find a combination of two objects, make note of the pattern inside the newly created object, fuse the new object (the one that you're holding) with the same shaped object that allowed you to create the new object, but with a different pattern than the new object.","I noticed that the pattern on the inside of the object that is combined with the held object is retained when combining, while the held object's shape was retained when combining.",200002,25,"male",9,8,"No comments.","2025_01_22","06_49_23",12.2060876454177,880
"64",64,65,"low","Circle and square matched patterns equals orange crystal","Circle and square matched patterns equals orange crystal",76,45,"female",9,9," ","2025_01_22","11_48_53",4.34380542185368,768
"65",65,66,"medium","do not be afraid to use your points","the solid colours mixed with the striped ones severally can produce new colours",1011,34,"female",4,8,"none","2025_01_22","11_49_04",6.91968384984741,836
"66",66,67,"high","try to get as many purple shapes as possible, don't activate other colours, be sure not to double tap space by accident because you gonna activate them","2 of lesser color = 1 of higher, BUT
red + orange = light green
red + light green = dark green
orange + green = blue
red + blue = purple",210040,31,"male",8,5,"maybe change the activation key to something else than the space bar","2025_01_22","12_49_24",12.2550580287384,914
"67",67,68,"medium","combine square and circle with different patterns","I did not use any patterns, just try",24,24,"female",10,2,"no","2025_01_22","13_50_23",3.2188758248682,897
"68",68,69,"low","link shapes of the same colour","same coloured shapes give you a new colour with the shape of the first shape",0,32,"female",10,10,"wish we had a trial first","2025_01_22","13_49_53",0,876
"69",69,70,"low","I started sorting them at one point but it didn't seem to help me much so I didn't bother.","Similar patterns worked better but not always and identical ones never fused. Matching red patterned triangle and diamond fused, matching red pattern circle and square fused. The only oranges I got to fuse were dotted triangle and solid diamond. I did very badly btw, hope this helps!",130,38,"female",10,7,"na","2025_01_22","11_52_08",4.87519732320115,1080
"70",70,71,"medium","So what I have discovered is that to get more points, you have to double-click on each crystal.","I noticed that most combined crystals do not yield the desirable results.",144,26,"female",10,3,"I do not have any comments","2025_01_22","13_52_22",4.97673374242057,959
"71",71,72,"high","This game is a bit challenging however if you focus you will find the clues and receive the points in the game.","The more you try to form patterns with the shapes if they don't go hand in hand you will see an X sign on found recipes",24,33,"female",10,3,"Really enjoyed the experiment ","2025_01_22","13_53_05",3.2188758248682,917
"72",72,73,"low","lookout for matching patterns and pay special attention to shapes","Square and circles appear to pair very well, and so are trianges and diagonal shapes. ",157,27,"male",10,4,"No","2025_01_22","13_52_51",5.06259503302697,1087
"73",73,74,"medium","be patient and try and look for patterns","it was dificult for me",218,45,"male",5,4,NA,"2025_01_22","13_53_15",5.3890717298165,991
"74",74,75,"medium","no strategy honestly ","none",111,29,"female",10,5,"good study","2025_01_22","13_53_30",4.71849887129509,1139
"75",75,76,"high","dear future player
when you pick your crystals make sure they are of the same shape even if its different colors, you will be given different shapes to choose from. the first shape you choose stick to it, good luck.","the rule was crystals come in many shapes, forms and colors, let go of crystals ones you done picking to allow for space to pick up more, combining same shape different colors is best because some colors have more points than others.",10,31,"female",9,5,"no","2025_01_22","13_53_49",2.39789527279837,1262
"76",76,77,"low","finish all your moves. ","combine diamond with triangle always and keep going. 
I did not find other shape's pairs you need to figure which shape is paired with.",10020,33,"male",10,5,"no","2025_01_22","12_53_47",9.21243817005833,1133
"77",77,78,"high","The game needs a lot of strategy.","The fusion of the colors is easy, and the red color fusion is quite easy when combined with red.",0,25,"female",10,10,"The game was difficult.","2025_01_22","13_55_13",0,1017
"78",78,79,"high","make sure you check / look up on the messages on top for the type of item you are carrying tobe matched","i noticed i obtained more points when combing the square ones",21015,39,"female",10,8,"It needs attention","2025_01_22","14_55_19",9.95303933136538,1205
"79",79,80,"medium","Coming up with fusions is really difficult so don't waste your actions on them.","The striped(diagonal stripes) square + the checked circle was a fusion.
And the striped(diagonal stripes) circle + checked square was a fusion.
The tilted square (diagonal stripes) + checked triangle was a fusion.
Using the same shapes or patterns doesn't give you any fusions.",58,25,"female",8,8,"It was super exciting and I would love to complete more tasks.","2025_01_22","13_57_46",4.07753744390572,1265
"80",80,81,"medium","just pick up with the space bar and drop them into your points with the space bar immediatly","None of the patterns i tried to match worked out at all",23,29,"female",10,10,"I really enjoyed it and it could also be used to test some psychological issues as well such as anxiety ","2025_01_22","13_55_40",3.17805383034795,1062
"81",81,82,"low","Dont forget to harvest when you feel like its the right time.","Circles and squares are usually the two to fuse together.Patterns are also a hint sometimes. Diamond and Triangles fuse.",112,29,"female",10,9,"SUBSEQUENT NUMBER OF CONFUSING INSTRUCTIONS SOMETIMES.","2025_01_22","13_56_48",4.72738781871234,1262
"82",82,83,"medium","Look for patterns, for me it was circle + square of different inner lines made new circles, square + circle of different inner patterns made new squares. The shape you hold determined (was the same) as the new shape it forms and the pattern you fuse onto (the second shape) determines the inner pattern of the new shape. The other shapes were completely useless to me and I could not create recipes from them.  ","Only circles with squares could make new shapes. With the shape being determined by what you are holding (either a circle or square) and the inner pattern being determined by the shape you are not holding.",1001,24,"male",8,5,"Probably a reading comprehension error on my end but it took me playing the game a bit to realise only fusing burns a move (and movingdropping shapes did not burn any moves) and so I was playing the game very suboptimally at the start.","2025_01_22","22_57_30",6.90975328164481,1256
"83",83,84,"high","Don't rush during the game and take time to see how the recipes form to make the best judgement. Observe how the shapes merge.","You can only combine similarly shaped crystals. a circular crystal will only combine with another circular crystal",111,28,"male",7,5,"The experiment should have allowed us to have a practice run to better understand the task.","2025_01_22","14_58_34",4.71849887129509,521
"84",84,85,"high","Combine the same shapes and collect all the same shapes until they are finished. Don't rush to drop a shape because new ones of the same type may pop up. When finished with a certain set of shapes, be sure to drop the one you are holding, then pick up another one and repeat the same pattern. Never mix two different shapes.","When you mix different shapes, you get an error, but mixing the same shape can give you a new shape and color and therefore points, depending on the patterns on the shapes that you mixed.",111143,28,"female",10,3,"The instructions could be a lot more understandable if they included a practice game before beginning the actual game.","2025_01_22","13_60_26",11.6185819368287,1445
"85",85,86,"high","When selecting, select the same shape. For instance if you are are going for circle, you combine all circle. To select a shape press the space bar key on your keyboard. To move around use the arrow keys ie the up, down, left and right keys on your keyboard. If you want to drop the shape you are holding, you press the D key on your keyboard"," Now for the pattern a plan red circle  ie without any pattern and a square patterned orange circle will give a plan yellow circle
A plan red diamond shape combined with a square red diamond will give an orange squared patterned diamond, an orange  patterned diamond with a red dotted diamond will give a yellow dotted diamond. A yellow dotted diamond with a slight lined patterned  red diamond will give a blue slight lined patterned diamond shape. In essence just play around and combine the same shapes together


",100012,29,"female",10,4,"It was not difficult even though it took me a little time and some points to find out a pattern. The game was generally engaging. ","2025_01_22","13_01_18",11.513055456521,1559
"86",86,87,"medium","I have no idea what i waws doing. Guess game","I tried to match ",11001,55,"female",7,10,"no","2025_01_22","14_02_21",9.3058323534354,1681
"87",87,88,"low","It was quite confusing at some point","shapes perhaps color pattern",1,30,"male",5,9,"No comments","2025_01_22","12_03_35",0.693147180559945,1752
"88",88,89,"low","i could'nt get the trick","i didnt notice the patterns",0,25,"female",4,10,"No","2025_01_22","14_06_53",0,1146
"89",89,90,"medium","before you save a mineral try to combine as many as possible to the most points","1. Same shapes cannot be combined
2. Shapes with the same pattern cannot combined
3. Recipes -> blank square + checkered circle, vice versa
           -> blank rhombus + checkered triangle, vice versa
           -> blank triangle + dotted rhombus, vice versa
           -> dotted triangle + diagonal rhombus, vice versa
           -> diagonal triangle + checkered rhombus, vice versa
4. Any resulting fusion can also be combined according to the recipes to make an even more valuable mineral",362,24,"male",10,6,"nothing","2025_01_22","14_12_23",5.89440283426485,2265
"90",90,91,"medium","Iam sorry if i cannot be of much help but i would like to say goodluck before anything.So to earn more you would pick a random crystal and try to fuse it with a fe others untl you get it right.If you fail after 3 attempts take another one and fuse it too.","a square and circle make a recipe.
a kite and triangle make a recipe",1,21,"female",9,9,"no","2025_01_22","14_12_46",0.693147180559945,2421
"91",91,92,"high","combine same shape crystals and if possible same colour though from my experience the colour is not really necessary except it is been displayed.","if you combine different shape crystal it score you low. give it your full concentration.",201,33,"female",7,5,NA,"2025_01_22","12_13_29",5.30826769740121,2375
"92",92,93,"medium","I clicked randomly until I got points","I didn't notice any",212,45,"female",5,9,"I had to guess","2025_01_22","12_14_45",5.36129216570943,2350
"93",93,94,"low","I was holding the rover to fuse the crystals more","i don't remember ",62,34,"male",10,5,"no comments ","2025_01_22","14_23_50",4.14313472639153,2597
"94",94,95,"medium","Do not go with the shape or pattern that are similar. The pattern changes all the time, the first few moves are crucial.","Always check the hint on the top when moving the arrows, it sometimes show your outcome for a second before the question mark.",27,24,"female",5,7,"No","2025_01_22","14_25_06",3.3322045101752,9572
"95",95,96,"low","I just trusted my instincts when combining. ","shapes that are the same are not to be combined.",20,60,"female",10,9,"It was a great experiment","2025_01_22","14_25_40",3.04452243772342,2426
"96",96,97,"medium","The triangles combine only with the diamonds and vice versa. The squares combine only with the circles and vice versa. Following this, choose a figure to start with and start matching with its geometric partner that has a different color or pattern. 
Example: I start with a square of stripes and combine it with a plain circle. Imagine that a plain square with different colour turns out, which I will combine with another circle with dots. And so on. When you can't combine more drop for later or collect depending on the moves you have left.","You can combine with colors or patterns that are different.
The triangles combine only with the diamonds and vice versa. The squares combine only with the circles and vice versa. ",110120,61,"male",10,6,"Nothing to add thank you","2025_01_22","13_39_46",11.6093350402179,NA
"97",97,98,"low","Guys, if you press the space bar continuosly you will loss the game as it will reduce the steps.","There are only red available despite many colours were shown and similar colours are very rare to produce more energy.",16,43,"male",5,4,"Nil","2025_01_22","09_19_48",2.83321334405622,1046
"98",98,99,"high","Try to match the shapes according to their colors ","Make sure the patterns are well coordinated. ",100026,34,"female",10,8,"Exciting experiment. ","2025_01_22","15_29_60",11.5131954285268,2519
"99",99,100,"medium","Pick a crystal up and merge it with other crystals.","I was seeing different colors in the crystals and seeing how valuable they was.",10102,25,"male",10,8,"This task was fun!","2025_01_22","09_28_16",9.22058768842773,360
"100",100,101,"high","Match alike shapes with different shades each transition","alike shapes lead to better values",310100,38,"male",10,1,"none","2025_01_22","09_28_30",12.6446533298495,377
"101",101,102,"high","Try matching only the same shapes until you reach the purple color of this shape. ","I noticed that only the same shapes could be combined.",301020,25,"male",10,2,"Great Experiment. Very simple and perfectly clear.","2025_01_22","16_29_43",12.6149353087392,413
"102",102,103,"high","Try to take take the time to strategize properly. I didn't get it even after 40 moves.","I noticed none. I was kept guessing all the way through.",126,42,"female",9,8,"None","2025_01_22","09_30_47",4.84418708645859,482
"103",103,104,"high","Pick the same shapes for the recipes. Be aware that some colour/patterns for the shapes can't fuse.","Shapes had to be the same for the recipes to fuse. Certain colours/patterns will not fuse.",100000,41,"male",10,5,"This was a pretty fun and neat experiment. Id love to participate more on these types of experiments.","2025_01_22","09_31_05",11.5129354649202,431
"104",104,105,"medium","I have no clue what makes a match. I just systematically went row by row and checked.","I do not know any patterns or rules other than what was explained eearlier.",30,68,"male",8,4,"Thank you for the opportunity.","2025_01_22","08_32_42",3.43398720448515,638
"105",105,106,"high","Fuse similar shapes","Only identical shapes fuse",1006,33,"male",10,4,"No","2025_01_22","09_34_05",6.91473089271856,596
"106",106,107,"medium","No tips, have fun","All seemed wrong, all the best!",0,33,"female",7,10,"None","2025_01_22","14_34_18",0,712
"107",107,108,"high","Form seems to be a determinant factor for the capacity of fusion (triangle fuses with triangle, etc.).","Form seems to be more important than the pattern.",400023,42,"male",7,6,"No.","2025_01_22","15_35_32",12.8992798242902,773
"108",108,109,"medium","If you try a few matches and they don't work drop the crystal and start with another. my first match was a spotty red triangle and red diamond then a red checked diamond then a striped diamond. Most of my matches were with diamonds ","most of my matches seemed to be diamonds so maybe try these first ",1000,41,"female",10,0,"I enjoyed trying to find a pattern ","2025_01_22","14_36_50",6.90875477931522,813
"109",109,110,"high","Shapes seem to influence fusion more than patterns do. ","Similar shapes are more likely to combine - square with square, etc. The solid shapes do not seem to combine with anything from what I could tell, but I may be wrong about that. Good luck! ",100000,51,"female",10,2,"This was really fun! Best of luck with your studies!","2025_01_22","09_37_05",11.5129354649202,878
"110",110,111,"high","I had none, just went with my gut.","I didn't notice any patterns.",124,26,"male",8,1,"This was very fun.","2025_01_22","16_39_51",4.8283137373023,665
"111",111,112,"medium","diamond matches with triangle. circle matches with square. blank plus lines makes lines, blank plus crosshatch makes crosshatch. 

Make sure to mine the gems at the end when you have enough moves left!!","diamond matches with triangle. circle matches with square. blank plus lines makes lines, blank plus crosshatch makes crosshatch. ",431,26,"male",9,8,"no","2025_01_22","14_39_15",6.06842558824411,988
"112",112,113,"medium","Try combining a circle with a square and a triangle with other triangles. ","In most cases, its one with a pattern and one without that a pattern that produce results",1210,32,"female",10,7,"None","2025_01_22","16_39_21",7.09920174355309,959
"113",113,114,"high","I suggest fusing together all the ones of the same shape (e.g. triangles) but not if you've already fused one with the same pattern. So you could fuse a plain triangle and a dotty triangle and a triangle with a checked pattern, but then don't fuse another dotty triangle after that. This technique worked every single time except once.","You can usually fuse together objects of the same shape, but you can't repeat objects with the same pattern. So you can't fuse a plain triangle, then a dotty triangle, then a plain triangle, for example. But you could fuse a plain triangle, then a dotty triangle, then a checked triangle, and so on.",211140,37,"female",9,7,NA,"2025_01_22","14_39_19",12.2602814357265,947
"114",114,115,"medium","Memprize the instructions because I didn't take enough time to do that and it hurt my ability to play well.","I didn't spend enough time on the rules so my play was mostly luck to get any points.",202,70,"male",10,8,"Very interesting fun and challenging!","2025_01_22","08_39_47",5.31320597904179,970
"115",115,116,"medium","Never go with two similar shaped crystals. combining different shapes might help to fuse. After you fuse it. Take it and harvest it in an empty space. ","I didn't notice any pattern but I believe it never fuses when you try to combine two similar shaped crystals.",48,37,"male",10,1,"It is an interesting task. Thank you.","2025_01_22","15_40_07",3.89182029811063,957
"116",116,117,"medium","Try and merge different shapes together to create high coloured shapes, once found 2 shapes that merge well together, keep merging with the same shape consistentely.","Circle + square helps get a higher colour circle.",301000,21,"female",10,4,"None thank you.","2025_01_22","14_41_51",12.6148688659846,948
"117",117,118,"medium","Can combine different colors together. Unsure of whether can fuse same shapes as I was unsuccessful. Checkered shapes can be combined with near full (checkered) shapes. The combined shape will combined properties, one of each shape (not color). Pressing spacebar will consume the item on an empty space, so make sure to press D to drop and not waste points!","Combined shapes retain properties of each items, the first item will be the shape, the pattern of the second. And colors do not have to be the same to be combined.",221,36,"male",5,5,"Wish there were additional rounds as I was noticing patterns too late and committed several mistakes such as using an item when I meant to drop it! I thought it was enjoyable just wish I could be more invested as I felt I could have done better. And I would have liked it if the result list wasnt simply a column but more of a spreadsheet so you can see it all at once (and the ability to sort to find it easier to see any pattern).","2025_01_22","15_43_26",5.40267738187228,1193
"118",118,119,"high","Try to start with solid colored shape and then combine it with striped one for the same color and shape. Keep combining same shape with different pattern within the same shape. ","Start with solid colored one shape and go for the same shape that has striped pattern inside. ",100,43,"female",8,5,"thank you","2025_01_22","09_48_44",4.61512051684126,1533
