id,condition,messageHow,messageRules,total_points
68,medium-1,combine square and circle with different patterns,"I did not use any patterns, just try",24
69,hard,link shapes of the same colour,same coloured shapes give you a new colour with the shape of the first shape,0
70,hard,I started sorting them at one point but it didn't seem to help me much so I didn't bother.,"Similar patterns worked better but not always and identical ones never fused. Matching red patterned triangle and diamond fused, matching red pattern circle and square fused. The only oranges I got to fuse were dotted triangle and solid diamond. I did very badly btw, hope this helps!",130
71,medium-1,"So what I have discovered is that to get more points, you have to double-click on each crystal.",I noticed that most combined crystals do not yield the desirable results.,144
72,easy,This game is a bit challenging however if you focus you will find the clues and receive the points in the game.,The more you try to form patterns with the shapes if they don't go hand in hand you will see an X sign on found recipes,24
73,hard,lookout for matching patterns and pay special attention to shapes,"Square and circles appear to pair very well, and so are trianges and diagonal shapes. ",157
74,medium-1,be patient and try and look for patterns,it was dificult for me,218
75,medium-1,no strategy honestly ,none,111
76,easy,"dear future player
when you pick your crystals make sure they are of the same shape even if its different colors, you will be given different shapes to choose from. the first shape you choose stick to it, good luck.","the rule was crystals come in many shapes, forms and colors, let go of crystals ones you done picking to allow for space to pick up more, combining same shape different colors is best because some colors have more points than others.",10
77,hard,finish all your moves. ,"combine diamond with triangle always and keep going. 
I did not find other shape's pairs you need to figure which shape is paired with.",10020
78,easy,The game needs a lot of strategy.,"The fusion of the colors is easy, and the red color fusion is quite easy when combined with red.",0
79,easy,make sure you check / look up on the messages on top for the type of item you are carrying tobe matched,i noticed i obtained more points when combing the square ones,21015
80,medium-1,Coming up with fusions is really difficult so don't waste your actions on them.,"The striped(diagonal stripes) square + the checked circle was a fusion.
And the striped(diagonal stripes) circle + checked square was a fusion.
The tilted square (diagonal stripes) + checked triangle was a fusion.
Using the same shapes or patterns doesn't give you any fusions.",58
81,medium-1,just pick up with the space bar and drop them into your points with the space bar immediatly,None of the patterns i tried to match worked out at all,23
82,hard,Dont forget to harvest when you feel like its the right time.,Circles and squares are usually the two to fuse together.Patterns are also a hint sometimes. Diamond and Triangles fuse.,112
83,medium-1,"Look for patterns, for me it was circle + square of different inner lines made new circles, square + circle of different inner patterns made new squares. The shape you hold determined (was the same) as the new shape it forms and the pattern you fuse onto (the second shape) determines the inner pattern of the new shape. The other shapes were completely useless to me and I could not create recipes from them.  ",Only circles with squares could make new shapes. With the shape being determined by what you are holding (either a circle or square) and the inner pattern being determined by the shape you are not holding.,1001
84,easy,Don't rush during the game and take time to see how the recipes form to make the best judgement. Observe how the shapes merge.,You can only combine similarly shaped crystals. a circular crystal will only combine with another circular crystal,111
85,easy,"Combine the same shapes and collect all the same shapes until they are finished. Don't rush to drop a shape because new ones of the same type may pop up. When finished with a certain set of shapes, be sure to drop the one you are holding, then pick up another one and repeat the same pattern. Never mix two different shapes.","When you mix different shapes, you get an error, but mixing the same shape can give you a new shape and color and therefore points, depending on the patterns on the shapes that you mixed.",111143
86,easy,"When selecting, select the same shape. For instance if you are are going for circle, you combine all circle. To select a shape press the space bar key on your keyboard. To move around use the arrow keys ie the up, down, left and right keys on your keyboard. If you want to drop the shape you are holding, you press the D key on your keyboard"," Now for the pattern a plan red circle  ie without any pattern and a square patterned orange circle will give a plan yellow circle
A plan red diamond shape combined with a square red diamond will give an orange squared patterned diamond, an orange  patterned diamond with a red dotted diamond will give a yellow dotted diamond. A yellow dotted diamond with a slight lined patterned  red diamond will give a blue slight lined patterned diamond shape. In essence just play around and combine the same shapes together


",100012
87,medium-1,I have no idea what i waws doing. Guess game,I tried to match ,11001
88,hard,It was quite confusing at some point,shapes perhaps color pattern,1
89,hard,i could'nt get the trick,i didnt notice the patterns,0
90,medium-1,before you save a mineral try to combine as many as possible to the most points,"1. Same shapes cannot be combined
2. Shapes with the same pattern cannot combined
3. Recipes -> blank square + checkered circle, vice versa
           -> blank rhombus + checkered triangle, vice versa
           -> blank triangle + dotted rhombus, vice versa
           -> dotted triangle + diagonal rhombus, vice versa
           -> diagonal triangle + checkered rhombus, vice versa
4. Any resulting fusion can also be combined according to the recipes to make an even more valuable mineral",362
91,medium-1,Iam sorry if i cannot be of much help but i would like to say goodluck before anything.So to earn more you would pick a random crystal and try to fuse it with a fe others untl you get it right.If you fail after 3 attempts take another one and fuse it too.,"a square and circle make a recipe.
a kite and triangle make a recipe",1
92,easy,combine same shape crystals and if possible same colour though from my experience the colour is not really necessary except it is been displayed.,if you combine different shape crystal it score you low. give it your full concentration.,201
93,medium-1,I clicked randomly until I got points,I didn't notice any,212
94,hard,I was holding the rover to fuse the crystals more,i don't remember ,62
95,medium-1,"Do not go with the shape or pattern that are similar. The pattern changes all the time, the first few moves are crucial.","Always check the hint on the top when moving the arrows, it sometimes show your outcome for a second before the question mark.",27
96,hard,I just trusted my instincts when combining. ,shapes that are the same are not to be combined.,20
97,medium-1,"The triangles combine only with the diamonds and vice versa. The squares combine only with the circles and vice versa. Following this, choose a figure to start with and start matching with its geometric partner that has a different color or pattern. 
Example: I start with a square of stripes and combine it with a plain circle. Imagine that a plain square with different colour turns out, which I will combine with another circle with dots. And so on. When you can't combine more drop for later or collect depending on the moves you have left.","You can combine with colors or patterns that are different.
The triangles combine only with the diamonds and vice versa. The squares combine only with the circles and vice versa. ",110120
98,hard,"Guys, if you press the space bar continuosly you will loss the game as it will reduce the steps.",There are only red available despite many colours were shown and similar colours are very rare to produce more energy.,16
99,easy,Try to match the shapes according to their colors ,Make sure the patterns are well coordinated. ,100026
100,medium-1,Pick a crystal up and merge it with other crystals.,I was seeing different colors in the crystals and seeing how valuable they was.,10102
101,easy,Match alike shapes with different shades each transition,alike shapes lead to better values,310100
102,easy,Try matching only the same shapes until you reach the purple color of this shape. ,I noticed that only the same shapes could be combined.,301020
103,easy,Try to take take the time to strategize properly. I didn't get it even after 40 moves.,I noticed none. I was kept guessing all the way through.,126
104,easy,Pick the same shapes for the recipes. Be aware that some colour/patterns for the shapes can't fuse.,Shapes had to be the same for the recipes to fuse. Certain colours/patterns will not fuse.,100000
105,medium-1,I have no clue what makes a match. I just systematically went row by row and checked.,I do not know any patterns or rules other than what was explained eearlier.,30
106,easy,Fuse similar shapes,Only identical shapes fuse,1006
107,medium-1,"No tips, have fun","All seemed wrong, all the best!",0
108,easy,"Form seems to be a determinant factor for the capacity of fusion (triangle fuses with triangle, etc.).",Form seems to be more important than the pattern.,400023
109,medium-1,If you try a few matches and they don't work drop the crystal and start with another. my first match was a spotty red triangle and red diamond then a red checked diamond then a striped diamond. Most of my matches were with diamonds ,most of my matches seemed to be diamonds so maybe try these first ,1000
110,easy,Shapes seem to influence fusion more than patterns do. ,"Similar shapes are more likely to combine - square with square, etc. The solid shapes do not seem to combine with anything from what I could tell, but I may be wrong about that. Good luck! ",100000
111,easy,"I had none, just went with my gut.",I didn't notice any patterns.,124
112,medium-1,"diamond matches with triangle. circle matches with square. blank plus lines makes lines, blank plus crosshatch makes crosshatch. 

Make sure to mine the gems at the end when you have enough moves left!!","diamond matches with triangle. circle matches with square. blank plus lines makes lines, blank plus crosshatch makes crosshatch. ",431
113,medium-1,Try combining a circle with a square and a triangle with other triangles. ,"In most cases, its one with a pattern and one without that a pattern that produce results",1210
114,easy,"I suggest fusing together all the ones of the same shape (e.g. triangles) but not if you've already fused one with the same pattern. So you could fuse a plain triangle and a dotty triangle and a triangle with a checked pattern, but then don't fuse another dotty triangle after that. This technique worked every single time except once.","You can usually fuse together objects of the same shape, but you can't repeat objects with the same pattern. So you can't fuse a plain triangle, then a dotty triangle, then a plain triangle, for example. But you could fuse a plain triangle, then a dotty triangle, then a checked triangle, and so on.",211140
115,medium-1,Memprize the instructions because I didn't take enough time to do that and it hurt my ability to play well.,I didn't spend enough time on the rules so my play was mostly luck to get any points.,202
116,medium-1,Never go with two similar shaped crystals. combining different shapes might help to fuse. After you fuse it. Take it and harvest it in an empty space. ,I didn't notice any pattern but I believe it never fuses when you try to combine two similar shaped crystals.,48
117,medium-1,"Try and merge different shapes together to create high coloured shapes, once found 2 shapes that merge well together, keep merging with the same shape consistentely.",Circle + square helps get a higher colour circle.,301000
118,medium-1,"Can combine different colors together. Unsure of whether can fuse same shapes as I was unsuccessful. Checkered shapes can be combined with near full (checkered) shapes. The combined shape will combined properties, one of each shape (not color). Pressing spacebar will consume the item on an empty space, so make sure to press D to drop and not waste points!","Combined shapes retain properties of each items, the first item will be the shape, the pattern of the second. And colors do not have to be the same to be combined.",221
119,easy,Try to start with solid colored shape and then combine it with striped one for the same color and shape. Keep combining same shape with different pattern within the same shape. ,Start with solid colored one shape and go for the same shape that has striped pattern inside. ,100
120,medium-1,I found that once I found a combination of shapes if I kept going for the same shape then the points would keep multiplying. I didn't notice any patterns between the different shadings of shapes only the actual shapes themselves. Once you get a purple gem don't forget to bank it as any other combinations won't increase value!,"Triangle + Diamond (can keep stacking more diamonds)
Square + Circle (again keep stacking circles)
REMEMBER to pick up in the order stated (not sure what'll happen the opposite way)
",200213
